Manufacturer,Model,Application(s),Thrust (dry) [lbf],Thrust (wet) [lbf],SFC (dry) [lb/lbf hr],SFC (wet) [lb/lbf hr],Airflow (static) [lb/s],OPR (static),FPR (static),BPR (static),Thrust (cruise) [lbf],SFC (cruise) [lb/lbf hr],Cruise Speed [M],Cruise Altitude [ft],Turbine Inlet Temperature [K],Number of Spools,Fan Stages,LPC Stages,HPC Stages,HPT Stages,IPT Stages,LPT Stages,Fan Diameter [in],Length [in],Width/Diameter [in],Dry Weight [lb]
Allison (Rolls-Royce),AE3007A1/1,"ERJ-135ER/LR, ERJ-145EP/ER/EU/LR/LU/MK/MP/MR",7580,,,,,,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1625
Allison (Rolls-Royce),AE3007A1/2,ERJ-145EP/ER/EU/LR/LU/MK/MP/MR,7580,,,,,,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1625
Allison (Rolls-Royce),AE3007A1/3,"ERJ-135ER/KE/KL/LR, ERJ-140",7580,,,,,,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1625
Allison (Rolls-Royce),AE3007A1E,"ERJ-135BJ, ERJ-145XR, Legacy 600",8895,,,,,,,,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1657
Allison (Rolls-Royce),AE3007A2,Legacy 650,9278,,,,,,,,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1681
Allison (Rolls-Royce),AE3007A3,ERJ-135/ER,7201,,,,,,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1657
Allison (Rolls-Royce),AE3007C,Citation X,6442,,,,,,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1614
Allison (Rolls-Royce),AE3007C1,Citation X,6764,,,,,,,5.3,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1617
Allison (Rolls-Royce),AE3007C2,Citation X,7042,,,,,,,,,,,,,2,1,,14,3,,2,38.5,115.1,55.7,1641
Allison (Rolls-Royce),AE3010/12,Yak-77 (not produced),9920,,,,,,,,,,,,,,,,,,,,,,,
Allison/Rolls-Royce/BMW,AE3012,AIR 70 (not produced),,,,,,,,,,,,,,,,,,,,,,,,
Avco Lycoming,ALF301,BH200 (not produced),2730,,0.44,,100,9,,5.6,,,,,,2,1,,5 + 1C,2,,2,,,,
Avco Lycoming,ALF501,Technology demonstrator,5800,,0.4,,221,9.3,,6,,,,,,2,1G,,7 + 1C,2,,2,,,,
Avco Lycoming,ALF502L,Challenger 600,7500,,0.428,,256,13.6,,5.2,2150,0.73,0.75,30000,,2,1G,2B,7 + 1C,2,,2,,65.6,50,1311
Avco Lycoming,ALF502L-2,Challenger 600,7500,,0.428,,,13.6,,,,,,,,2,1G,2B,7 + 1C,2,,2,,65.6,50,1311
Avco Lycoming,ALF502L-2A,Challenger 600,7500,,0.414,,,13.8,,,,,,,,2,1G,2B,7 + 1C,2,,2,,65.6,50,1321
Avco Lycoming,ALF502L-2C,Challenger 600,7500,,0.414,,,13.8,,,,,,,,2,1G,2B,7 + 1C,2,,2,,65.6,50,1321
Avco Lycoming,ALF502L-3,Challenger 600,7500,,0.415,,,13.8,,5,,,,,,2,1G,2B,7 + 1C,2,,2,,65.6,50,1321
Avco Lycoming,ALF502R-3,BAe 146-100/-200,6700,,0.411,,,11.6,,5.7,,,,,,2,1G,1B,7 + 1C,2,,2,,63.8,50,1336
Avco Lycoming,ALF502R-3A,BAe 146-100/-200/-300,6970,,0.408,,,12.2,,5.6,,,,,,2,1G,2B,7 + 1C,2,,2,,63.8,50,1336
Avco Lycoming,ALF502R-4,BAe 146-100/-200/-300,6970,,0.408,,,,,,,,,,,2,1G,1B,7 + 1C,2,,2,,63.8,50,1336
Avco Lycoming,ALF502R-5,BAe 146-100/-200/-200ER/-300,6970,,0.408,,,12.2,,5.6,2250,0.72,0.7,25000,,2,1G,2B,7 + 1C,2,,2,,63.8,50,1336
Avco Lycoming,ALF502R-6,BAe 146-200/-200ER/-300,7500,,0.415,,192,13.8,,5.6,,,,,,2,1G,2B,7 + 1C,2,,2,,65.6,50,1375
Avco Lycoming (Textron Lycoming),LF507-1F,RJ-70/-85/-100/-115,7000,,0.406,,192,13.8,,5.7,,,,,,2,1G,7B,1C,2,,2,40,58.6,41.7,1385
Avco Lycoming (Textron Lycoming),LF507-1H,RJ-70/-85/-100/-115,7000,,,,,13.8,,5.7,,,,,,2,1G,7B,1C,2,,2,40,58.6,41.7,1375
Avco Lycoming (Textron Lycoming),LF507-1N,Yak-40TL,7000,,,,,,,,,,,,,2,1G,7B,1C,2,,2,40,58.6,41.7,
Aviadvigatel,D-21A1,S-21 (not produced),16535,,,,,20.2,2.99,0.83,,,,,,2,5,,10,2,,2,,,,4630
Aviadvigatel,D-100,,42000,,,,,35,,8,,,,,,2,1,2B,13,2,,4,,,,
Aviadvigatel,D-110,,44090,,,,,31,1,3,,,,,,2,2G,2B,13,2,,4,,,,
Aviadvigatel,D-120,,,,,,,,1,5,,,,,,2,2,2B,13,2,,4,,,,
Aviadvigatel,PD-10,SSJ300,24000,,,,,,,,,,,,,2,1,1,8,2,,5,66,,,5180
Aviadvigatel,PD-14,MC-21-200,31000,,,,,,,,,,,,,2,1,3,8,2,,6,75,,,6330
Aviadvigatel,PD-14A,MC-21-300,28000,,,,,,,,,,,,,2,1,3,8,2,,6,75,,,6330
Aviadvigatel,PD-14M,MC-21-400,34000,,,,,,,,,,,,,2,1,4,8,2,,6,75,,,6550
Brandner,E-300-C1,Project 206 (not produced),,,,,,,,,,,,,,1,,,9,2,,,,,,
Brandner,E-300-C2,(cancelled),,,,,,,,,,,,,,1,,,9,2,,,,,,
Brandner,E-300-AF,(cancelled),,,,,,,,,,,,,,,,,,,,,,,,
Bristol/Curtiss-Wright,Olympus Mk.551,"Avro 740, Avro 750 (not produced)",13500,,,,,,,,,,,,,2,,7,7,1,,1,,,,
Bristol Siddeley,Orpheus BOr.3 Mk.803,JetStar prototype,4130,,1.08,,,,,,,,,,,1,,,7,1,,,,,,
Bristol Siddeley,Orpheus BOr.3/5 Mk.810D,JetStar prototype,4850,,,,,,,,,,,,,1,,,7,1,,,,100.52,36.95,990
Bristol Siddeley (Rolls-Royce),Viper Mk.520,DH 125-1,3100,,,,,,,,,,,,,1,,,7,1,,,,,,
Bristol Siddeley (Rolls-Royce),Viper Mk.521,"DH 125-1A, HS 125-1B",3100,,0.99,,53,5.6,,,,,,,,1,,,8,1,,,,92.97,28.7,758
Bristol Siddeley (Rolls-Royce),Viper Mk.522,HS 125-1A-522/-1B-522/-3/-3A/-3B/-400A/-400B/-403B,3330,,1,,,5.6,,,,,,,,1,,,8,1,,,,92.97,28.7,773
Bristol Siddeley (Rolls-Royce),Viper Mk.525,PD.808 prototype,3330,,1,,,5.6,,,,,,,,1,,,8,1,,,,105.55,28.7,772
Bristol Siddeley (Rolls-Royce),Viper Mk.601-22,HS 125-600A/B,3675,,,,58.4,5.8,,,,,,,,1,,,8,2,,,,64.6,24.5,760
Bristol Siddeley (Rolls-Royce),Viper Mk.601-22A,HS 125-600A/B,3675,,,,58.4,5.8,,,,,,,,1,,,8,2,,,,64.6,24.5,760
CFE,CFE738-1-1B,Falcon 2000,5918,,0.369,,240,30,1.7,5.3,1310,0.645,0.8,40000,,2,1,,5 + 1C,2,,3,35.5,68.3,48,1325
CFM,CFM56-2A2,(see military turbofan specifications),,,,,,,,,,,,,,,,,,,,,,,,
CFM,CFM56-2A3,(see military turbofan specifications),,,,,,,,,,,,,,,,,,,,,,,,
CFM,CFM56-2B1,(see military turbofan specifications),,,,,,,,,,,,,,,,,,,,,,,,
CFM,CFM56-2C1,"DC-8-71F/-72/-72F/-73F, DC-8-71/-73 (option)",22000,,0.35,,788,24.7,,6,4980,0.671,0.8,35000,,2,1,3B,9,1,,4,68.3,95.7,72,4635
CFM,CFM56-2C2,Trident,24000,,0.36,,,26.5,,,,,,,,2,1,3B,9,1,,4,68.3,95.7,72,
CFM,CFM56-2C3,DC-8-71/-71F/-72/-72F/-73/-73F (option),,,,,,,,,,,,,,2,1,3B,9,1,,4,68.3,95.7,72,4635
CFM,CFM56-2C5,"DC-8-72, DC-8-71/-71F/-72F/-73/-73F (option)",,,,,,,,,,,,,,2,1,3B,9,1,,4,68.3,95.7,72,4635
CFM,CFM56-2C6,DC-8-71/-71F/-72/-72F/-73/-73F (option),,,,,,,,,,,,,,2,1,3B,9,1,,4,68.3,95.7,72,4635
CFM,CFM56-3B1,"737-300/-300(QC)/-500, 737-400 (option)",20000,,0.38,,655,22.6,,6,4650,0.667,0.8,35000,,2,1,3B,9,1,,4,60,93.1,63,4276
CFM,CFM56-3B2,737-300/-300(QC)/-300F/-400,22000,,0.39,,683,24.3,,5.9,5040,0.667,0.8,35000,,2,1,3B,9,1,,4,60,93.1,63,4301
CFM,CFM56-3C1,737-300/-300(QC)/-300F/-400/-500,23500,,0.33,,710,25.7,,6,5370,0.667,0.8,35000,,2,1,3B,9,1,,4,60,93.1,63,4301
CFM,CFM56-3C3,"737-300, 737-300(QC)/-300F/-400/-500 (option)",,,,,,,,,,,,,,2,1,3B,9,1,,4,60,93.1,63,
CFM,CFM56-5A1,A320-111/-211/-311,25000,,0.33,,852,26.5,,6,5000,0.596,0.8,35000,,2,1,3B,9,1,,4,68.3,95.4,72,4995
CFM,CFM56-5A1/F,A320-211,25000,,0.33,,852,26.5,,6,5000,0.596,0.8,35000,,2,1,3B,9,1,,4,68.3,95.4,72,4995
CFM,CFM56-5A3,A320-212,26500,,0.33,,876,27.8,,6,5000,0.596,0.8,35000,,2,1,3B,9,1,,4,68.3,95.4,72,4995
CFM,CFM56-5A4,A319-113,22000,,0.32,,816,24.1,,6.2,5000,,0.8,35000,,2,1,3B,9,1,,4,68.3,95.4,72,4975
CFM,CFM56-5A4/F,A319-113,22000,,0.32,,816,24.1,,6.2,5000,,0.8,35000,,2,1,3B,9,1,,4,68.3,95.4,72,4975
CFM,CFM56-5A5,A319-114,23500,,0.32,,842,25.4,,6.2,5000,,0.8,35000,,2,1,3B,9,1,,4,68.3,95.4,72,4975
CFM,CFM56-5A5/F,A319-114,23500,,0.32,,842,25.4,,6.2,5000,,0.8,35000,,2,1,3B,9,1,,4,68.3,95.4,72,4975
CFM,CFM56-5B1,A321-111/-212,30000,,0.35,,943,32,,5.5,5840,0.596,0.8,35000,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B1/P,A321-111/-212,30000,,0.35,,943,32,,5.5,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B1/2,A321-111/-212,30000,,0.35,,943,32,,5.5,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B1/2P,A321-111/-212,30000,,0.35,,943,32,,5.5,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B1/3,A321-111/-212,30000,,0.35,,943,32,,5.5,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B2,A321-112/-213,31000,,0.35,,956,32.9,,5.5,5840,0.545,0.8,35000,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B2/P,A321-112/-213,31000,,0.35,,956,32.9,,5.5,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B2/2,A321-112/-213,31000,,,,,,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B2/2P,A321-112/-213,31000,,,,,,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B2/3,A321-112/-213,31000,,0.35,,956,32.9,,5.5,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B3,A321-211,32000,,0.36,,956,33.7,,5.4,5840,,0.8,35000,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B3/P,A321-211,32000,,0.36,,956,33.7,,5.4,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B3/P1,A321-211,32000,,0.36,,956,33.7,,5.4,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B3/2P,A321-211,32000,,0.36,,,33.7,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B3/2P1,A321-211,32000,,0.36,,,33.7,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B3/3,A321-211,32000,,0.36,,,33.7,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B3/3B1,A321-211,32000,,0.36,,,33.7,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B4,A320-214,27000,,0.34,,897,29.1,,5.7,5000,0.545,0.8,35000,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B4/P,A320-214,27000,,0.34,,897,29.1,,5.7,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B4/P1,A320-214,27000,,0.34,,897,29.1,,5.7,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B4/2,A320-214,27000,,0.34,,897,29.1,,5.7,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B4/2P,A320-214,27000,,0.34,,897,29.1,,5.7,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B4/2P1,A320-214,27000,,0.34,,897,29.1,,5.7,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B4/3,A320-214,27000,,0.34,,897,29.1,,5.7,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B4/3B1,A320-214,27000,,0.34,,897,29.1,,5.7,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B5,"A319-111, A320-215",22000,,0.32,,818,24.4,,6,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B5/P,"A319-111, A320-215",22000,,0.32,,818,24.4,,6,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B5/3,"A319-111, A320-215",22000,,0.32,,818,24.4,,6,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B6,"A319-112, A320-216",23500,,0.33,,844,25.8,,5.9,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B6/P,A319-112,23500,,0.33,,844,25.8,,5.9,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B6/2,A319-112,23500,,0.33,,844,25.8,,5.9,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B6/2P,A319-112,23500,,0.33,,844,25.8,,5.9,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B6/3,"A319-112, A320-216",23500,,0.33,,844,25.8,,5.9,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B7,A319-115/-115CJ/-115XCJ,27000,,0.34,,,29.1,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B7/P,A319-115/-115CJ/-115XCJ,27000,,0.34,,,29.1,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B8/P,A318-111,21600,,,,,,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B8/3,A318-111,21600,,,,,,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B9/P,A318-112,23300,,,,,,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5B9/3,A318-112,23300,,,,,,,,,,,,,2,1,4B,9,1,,4,68.3,102.4,72,5250
CFM,CFM56-5C2,A340-211/-311,31200,,0.32,,1027,31.5,,6.6,6915,0.545,0.8,35000,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-5C2/P,A340-211/-311,31200,,,,,,,,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,
CFM,CFM56-5C2/4,A340-211/-311,31200,,,,,,,,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,
CFM,CFM56-5C2/F,A340-211/-311,31200,,,,,,,,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,
CFM,CFM56-5C2/F4,A340-211/-311,31200,,,,,,,,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,
CFM,CFM56-5C2/G,A340-211/-311,31200,,,,,,,,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,
CFM,CFM56-5C2/G4,A340-211/-311,31200,,,,,,,,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,
CFM,CFM56-5C3,A340-212,32500,,0.32,,1045,32.6,,6.5,6910,0.545,0.8,35000,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-5C3/P,A340-212/-312,32500,,0.32,,1045,32.6,,6.5,6910,0.545,0.8,35000,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-5C3/F,A340-212/-312,32500,,0.32,,1045,32.6,,6.5,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-5C3/F4,A340-212/-312,32500,,,,,,,,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,
CFM,CFM56-5C3/G,A340-212/-312,32500,,0.32,,1045,32.6,,6.5,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-5C3/G4,A340-212/-312,32500,,,,,,,,,,,,,2,1,4B,9,1,,5,72.3,103,76.6,
CFM,CFM56-5C4,A340-213/-213X/-313/-313X/-8000,34000,,0.33,,1065,33.9,,6.4,7100,0.545,0.8,35000,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-5C4/P,A340-313/-313X,34000,,0.33,,1065,33.9,,6.4,7100,0.545,0.8,35000,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-5C4/1,A340-213/-213X/-313/-313X,34000,,0.33,,1065,33.9,,6.4,7100,0.545,0.8,35000,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-5C4/1P,A340-313/-313X,34000,,0.33,,1065,33.9,,6.4,7100,0.545,0.8,35000,,2,1,4B,9,1,,5,72.3,103,76.6,5700
CFM,CFM56-7B18/3,737-600,18500,,0.35,,667,21.7,,5.6,5420,,0.8,35000,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B20,737-600/-700,20600,,0.36,,686,22.7,,5.6,5450,0.633,0.8,35000,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B20/2,737-600/-700,20600,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B20/3,737-600/-700,20600,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B20E,737-600/-700,20600,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B22,737-600/-700/-700BBJ/-800/-800BBJ2,22700,,,,726,24.6,,5.4,5450,,0.8,35000,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B22/B1,,22700,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B22/2,737-600,22700,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B22/3,737-600/-700,22700,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B22/3B1,,22700,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B22E,737-600/-700,22700,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B22/EB1,,22700,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B24,"737-700/-800/-900/-900ER, 737-700BBJ/-800BBJ2 (option)",24200,,0.37,,754,26,,5.3,5480,0.627,0.8,35000,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B24/2,737-700,24200,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B24/3,737-700/-800/-900/-900ER,24200,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B24/3B1,737-800/-900/-900ER,24200,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B24E,737-700/-800/-900/-900ER,24200,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B24E/B1,737-800/-900/-900ER,24200,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B24/B1,,24200,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26,737-700/-700BBJ/-800/-800BBJ2/-900/-900ER,26300,,0.38,,783,27.9,,5.1,5480,,0.8,35000,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26/2,737-800,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26/3,737-800/-900/-900ER,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26/3B1,,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26/3B2,,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26/3B2F,,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26/3F,737-700/-800/-900/-900ER,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26/B1,737-700,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26/B2,,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26E,737-700/-800/-900/-900ER,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26E/B1,737-700,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26E/B2,737-700,,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26E/B2F,737-700,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B26E/F,737-700/-800/-900/-900ER,26300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27,737-600/-900/-900ER,27300,,0.38,,,28.9,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27/2,,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27/B1,737-800/-900/-900,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27/B3,737-700/-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27/3,737-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27/3B1,737-800/-900/-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27/3B1F,737-800/-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27/3B3,737-700/-800/-900/-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27/3F,737-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27A,,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
