Manufacturer,Model,Application(s),Power,SFC (TO) [shp],Airflow (TO) [lb/shp hr],OPR (TO) [lb/s],Number of Spools,LPC Stages,HPC Stages,HPT Stages,IPT Stages,LPT Stages,Length [in],Width/Diameter [in],Weight (dry) [lb]
Allison,250-C30R/2,"AH-58D, OH-58D",650,0.592,6,8.4,1 + FT,,1C,2,,2,43.2,25.5,258
Allison,250-C30R/3,"AH-58D, OH-58D/F",650,0.592,6,8.4,1 + FT,,1C,2,,2,43.2,25.5,258
Allison,250-C30R/3M,"AH-6J, MH-6J, AH-58D, OH-58D",650,0.592,6,8.4,1 + FT,,1C,2,,2,43.2,25.5,258
Allison,250-C30S,"AUH-76A, S-75, S-76A-2",650,0.592,6,8.4,1 + FT,,1C,2,,2,43.2,25.5,258
Allison,250-C30U,(see T703-AD-700),,,,,,,,,,,,,
Allison (Rolls-Royce),250-C47B,MQ-8C,650,0.58,6,9.2,1 + FT,,1C,2,,2,43.2,25.7,279
Allison (Rolls-Royce),250-C47E,"MQ-8C, MD 540A/F (not produced)",700,,,,1 + FT,,1C,2,,2,43.2,25.7,290
Boeing,502-2E,,175,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-7B,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-8,(see T50-BO-8),,,,,,,,,,,,,
Boeing,502-8A,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-8B,,210,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-10B,,270,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-10C,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-10F,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-10V,(see T50-BO-4),,,,,,,,,,,,,
Boeing,502-10VB,,325,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-10VC,(see T50-BO-8A),,,,,,,,,,,,,
Boeing,502-11,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-11B,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-12B,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-W,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,502-14,(see T50-BO-10),,,,,,,,,,,,,
Boeing,520-2,(see YT60-BO-2A),,,,,,,,,,,,,
Boeing,520-4,,475,,,,1 + FT,,1C,1,,1,54.1,25.1,250
Boeing,520-6,,550,0.67,5.5,6,1,,1C,1,,,54.1,25.1,250
Boeing,520-8,,550,0.67,5.5,6,1 + FT,,1C,1,,1,54.1,25.1,250
Boeing,550-1,(see T50-BO-12),,,,,,,,,,,,,
Allison,AE1107C,(see T406-AD-400),,,,,,,,,,,,,
Allison (Rolls-Royce),AE2100D2A,C-27J,4637,0.41,,16.6,1 + FT,,14,2,,2,124.1,46.3,1641
Allison (Rolls-Royce),AE2100D3,"C-130J, AC-130J, CC-130J Hercules, EC-130J, HC-130J, KC-130J, MC-130J, WC-130J Hercules C.4/C.5, E-3E (candidate engine)",4637,0.41,,16.6,1 + FT,,14,2,,2,124.1,46.3,1641
Allison (Rolls-Royce),AE2100H,Atlantique ATL3 (not produced),,,,,1 + FT,,14,2,,2,,,
Allison (Rolls-Royce),AE2100J,US-2,4591,,,,1 + FT,,14,2,,2,118.1,52.9,1641
Ivchenko,AI-20D-6,"An-12, Il-18, Il-20M, Il-38, Be-12",4080,0.529,46,8,1,,10,3,,,,,
Ivchenko,AI-20DM,An-32,5112,,,,1,,10,3,,,,,
Ivchenko,AI-20K,"An-10/10A, An-12, Il-18V",3840,,,,1,,10,3,,,,,
Ivchenko,AI-24,An-24V-1,2448,,,,1,,10,3,,,92.4,42.3,1323
Ivchenko,AI-24A,"An-24V-2, An-24RV",2448,,,,1,,10,3,,,,,
Ivchenko,AI-24T,"An-24T, An-26",2560,0.51,32,7.1,1,,10,3,,,,,
Ivchenko,AI-24TV,An-30,,,,,1,,10,3,,,,,
Ivchenko-Progress Motor Sich,AI-450T,Akinci,750,,,,,,,,,,,,
Safran,Aneto,AW249 (candidate engine),2500,,,,1 + FT,,3 + 1C,2,,2,,,
Turbomeca/AVIC,Ardiden 1H,"Dhruv Mk.3/4, HAL LCH, EC155, A149, KMH (candidate engine)",993,,,,1 + FT,,2C,1,,1,,,
Turbomeca/AVIC,Ardiden 1U,HAL LOH/LUH,1070,,,,1 + FT,,2C,1,,1,,,
Turbomeca/AVIC,Ardiden 3C/WZ16,AC352,1800,,,,1 + FT,,2C,1,,1,,,
Turbomeca,Arriel 1A,SA365C,641,0.573,,9,1 + FT,,1 + 1C,2,,1,42.9,22.4,265
Turbomeca,Arriel 1A1,SA365C1,641,0.573,,9,1 + FT,,1 + 1C,2,,1,42.9,22.4,265
Turbomeca,Arriel 1A2,SA365C2,641,0.573,,9,1 + FT,,1 + 1C,2,,1,42.9,22.4,265
Turbomeca,Arriel 1B,AS350B/BA,641,0.573,,9,1 + FT,,1 + 1C,2,,1,42.9,22.4,265
Turbomeca,Arriel 1C,AS365N,660,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1C1,"AS365N1, S-76A+",700,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1C2,AS365N2,700,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1D,AS350B1/L1,684,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1D1,"AS350B2/L2/BB, Squirrel HT.1/2, AS550, KA128",732,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1E,BK117C1,708,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1E2,"BK117C1/C2, EC145, UH-72A",738,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1K,A109K/KN,,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1K1,A109KM,738,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1M,AS365MA/SA,691,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1M1,"AS365K, AS565AA/CA/UA",783,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1S,S-76A+,700,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 1S1,S-76A++/C,723,,,,1 + FT,,1 + 1C,2,,1,60.6,31,
Turbomeca,Arriel 2B,AS550C3,848,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 2B1,EC130B4,848,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 2B1A,Z11,,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 2C,"AS365N3/N3+, AS565AB/SB/UB, H410A",839,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 2C1,EC155B,839,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 2C2,"EC155B1, MH-65C/D",944,,,,1 + FT,,1 + 1C,2,,1,39.9,22.7,
Turbomeca,Arriel 2E,"H145M, UH-72B",1039,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 2S1,S-76C+,856,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arriel 2S2,S-76C+,,,,,1 + FT,,1 + 1C,2,,1,,,
Turbomeca,Arrius 1A1,AS555AN/MN/SN/UN,480,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Arrius 2B1,EC635T1,,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Arrius 2B1A,EC635T1,,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Arrius 2B1A1,EC635T1,,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Arrius 2B2,EC635T2/T2+,,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Arrius 2F,EC120B,,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Arrius 2G1,Ka-226T,670,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Arrius 2K1,A109LUH/CM/K/K2/M/KM/KN/SP,,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Arrius 2K2,A109LUH/CM/K/K2/M/KM/KN/SP,,,,,1 + FT,,1C,1,,1,,,
Turbomeca,Artouste I,SE313B,360,,,,1,,1 + 1C,3,,,,,
Turbomeca,Artouste IIC5,SE313B,360,,7,3.9,1,,1 + 1C,3,,,,,
Turbomeca,Artouste IIC6,SE313B,360,,7,3.9,1,,1 + 1C,3,,,,,
Turbomeca,Artouste IIIB,"SA315B, SA316B",570,0.76,10,5.2,1,,1 + 1C,3,,,,,
Turbomeca,Artouste IIID,SA316C,,,,,1,,1 + 1C,3,,,,,
Turbomeca,Astazou I,,,,,,1,,1 + 1C,3,,,50,18,
Turbomeca,Astazou II,Skyvan 1A,495,,,,1,,1 + 1C,3,,,50,18,
Turbomeca,Astazou III,,591,0.643,6,,1,,1 + 1C,3,,,56.3,18,324
Turbomeca,Astazou III-2,,645,0.65,,,1,,1 + 1C,3,,,,,330
Turbomeca,Astazou IIIA,SA318C,523,0.623,,,1,,1 + 1C,3,,,,,
Turbomeca,Astazou IIIA,SA341,590,0.65,,,1,,1 + 1C,3,,,,,
Turbomeca,Astazou IIIB,SA341H,,,,,1,,1 + 1C,3,,,,,
Turbomeca,Astazou IIIC,SA341F,,,,,1,,1 + 1C,3,,,,,
Turbomeca,Astazou IIIC2,SA341F,,,,,1,,1 + 1C,3,,,,,
Turbomeca,Astazou IIIN,,590,0.65,,,1,,1 + 1C,3,,,,,
Turbomeca,Astazou IIIN2,Gazelle AH.2/HT.2/HT.3/HCC.4,590,0.65,,,1,,1 + 1C,3,,,,,
Turbomeca,Astazou XII,Skyvan 2,690,,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XIV,SA342L,858,,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XIVA,,600,0.53,7,7.6,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XIVB,SA319F,573,0.624,,,1,,2 + 1C,3,,,56.3,,366
Turbomeca,Astazou XIVC,,870,,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XIVD,,870,,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XIVF,SA319C/F,591,0.624,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XIVH,SA342K,,,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XIVM,SA342M,,,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XVID,Jetstream T.1/T.2,940,0.5,7,8.2,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XVIG,IA 58A,978,,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XVIII,,,,,,1,,2 + 1C,3,,,,,
Turbomeca,Astazou XX,SA361,1005,0.508,,,1,,3 + 1C,4,,,60.2,28.4,430
Turbomeca,Astazou XXB,SA361H,1400,,,,1,,3 + 1C,4,,,60.2,28.4,
Turbomeca,Bastan IVA,IA 60 Guarani III,930,,,,1,,1 + 1C,3,,,,,
Turbomeca,Bastan ??,SE.117 (not produced),760,,,,1,,1 + 1C,3,,,,,
Rolls-Royce,Clyde,Wyvern TF.2 (not produced),4030,0.71,42,6,1 + FT,9,1C,1,,1,,,2800
GE,CT7-2A,EH101 prototypes,1625,0.473,,,1 + FT,,5 + 1C,2,,2,47,26,442
GE,CT7-2E1,AW149,1980,,,,1 + FT,,5 + 1C,2,,2,47,26,492
GE,CT7-6A1,"CH-148 Petrel, CH-149 Chimo (not produced)",2145,0.445,,19,1 + FT,,5 + 1C,2,,2,48.2,26,493
GE,CT7-7A,CN-235-10,1700,0.474,,14,1 + FT,,5 + 1C,2,,2,96,29,783
GE,CT7-8A,"H-92A, S-92",2740,,,,1 + FT,,5 + 1C,2,,2,48.8,26,542
GE,CT7-8A1,CH-148,2712,,,,1 + FT,,5 + 1C,2,,2,48.8,26,542
GE,CT7-8A6,VH-92A,2769,,,,1 + FT,,5 + 1C,2,,2,48.8,26,542
GE,CT7-8A7,CH-148,2788,,,,1 + FT,,5 + 1C,2,,2,48.8,26,542
GE,CT7-8B5,(see YT706-GE-700),2769,,,,1 + FT,,5 + 1C,2,,2,48.8,26,542
GE,CT7-8E,VH-71A,2739,,,,1 + FT,,5 + 1C,2,,2,48.8,26,542
GE,CT7-8F5,"NH90 NFH/TTH, MH-60M",2762,,,,1 + FT,,5 + 1C,2,,2,48.8,26,542
GE,CT7-9C,"CN-235-100/110/200/220/300, AC-235",1750,,,,1 + FT,,5 + 1C,2,,2,96,29,805
GE,CT7-9C3,"CN-235-300/330, HC-144A/B",1750,,,,1 + FT,,5 + 1C,2,,2,96,29,807
IHI,CT58-IHI-110-1,KV107/II-3/II-4/II-5,1400,,,,2,,10,2,,2,59,16,315
IHI,CT58-IHI-110-2,,1400,,,,2,,10,2,,2,59,16,335
IHI,CT58-IHI-140-1,KV107/IIA-3/IIA-4/IIA-5/IIA-SM-1/IIA-SM-2/IIA-SM-3/IIA-SM-4/IIA-SM-17,1400,,,,2,,10,2,,2,59,16,340
IHI,CT58-IHI-140-2,,1400,,,,2,,10,2,,2,59,16,340
GE,CT64-820-1,"CC-115, DHC-5A",2825,,,,2,,14,2,,2,,,
GE,CT64-820-2,(see T64-GE-P4D),,,,,,,,,,,,,
GE,CT64-820-3,"CC-115, DHC-5A",3060,,,,2,,14,2,,2,,,
GE,CT64-820-4,"CC-115D, DHC-5D",3133,,,,2,,14,2,,2,110.2,40.4,1145
LHTEC,CTS800-4A,"T129A/B, T625",1360,0.448,,14.1,1 + FT,,2C,2,,2,41.2,27.5,383
LHTEC,CTS800-4N,"UH-1H, Lynx AH.9A/Mk.21B, Super Lynx 300/Mk.100, AW159, Wildcat AH1/HMA2",1360,0.448,,14.1,1 + FT,,2C,2,,2,41.2,27.5,383
Progress,D-136,"Mi-26, Mi-26MS/T/TZ/T2/T2V",11400,0.456,562,18.7,2 + FT,6,7,1,1,2,146.3,55.2,2315
Rolls-Royce,Dart RDa.1,Athena T.1A,1400,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.6 Mk.510,Turbo Mustang III,1660,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.6 Mk.514-7,F27 Mk.300M,1715,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.7 Mk.21,"Br.1050 Alize, Br.1050M Alize-M",2100,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.7 Mk.528-7E,F27 Mk.400M,2000,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.7 Mk.529-8,TC-4C,2016,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.7 Mk.532-7,F27 Mk.400M,2150,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.7 Mk.536-7R,"F27 Mk.500M, C-31A",2210,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.8 Mk.101,A.W.660 Argosy C.1,2582,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.8 Mk.102,A.W.660 Argosy C.1,2582,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.8 Mk.150,Andover CC.1,2016,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.8 Mk.151,Andover CC.2,2016,,,,1,,2C,3,,,,,
Rolls-Royce,Dart RDa.12 Mk.201,"Andover C.1, DHC-5C (not produced)",3115,,,,1,,2C,3,,,,,
Armstrong Siddeley,Double Mamba ASMD.1,"Gannet AS.1/T.2, B-88 YB.1",2960,,,,1,,10,??,,,102.3,52.8,2170
Armstrong Siddeley,Double Mamba ASMD.3,Gannet AS.4/COD.4/T.5/ECM.6,3145,,,,1,,10,??,,,102.3,52.8,2170
Armstrong Siddeley,Double Mamba ASMD.4,Gannet AEW.3,3875,,,,1,,10,??,,,102.3,52.8,2170
Armstrong Siddeley,Double Mamba ASMD.8,Gannet AEW.3,3875,,,,1,,10,??,,,102.3,52.8,2170
Napier,Eland NEl.6 Mk.504A,CC-109 (CL-66),3500,,,,,,,,,,,,
Napier,Eland NEl.7,Rotodyne,2800,,,,,,,,,,,,
Napier,Gazelle NGa.1,,1260,,,,1 + FT,,11,2,,1,75,42.5,928
Napier,Gazelle NGa.2 Mk.101,Belvedere HC.1,1465,0.74,16,6.3,1 + FT,,11,2,,1,75,42.5,928
Napier,Gazelle NGa.3,,,,,,1 + FT,,11,2,,1,75,42.5,928
Napier,Gazelle NGa.4,,,,,,1 + FT,,11,2,,1,75,42.5,928
Napier,Gazelle NGa.13 Mk.161,Wessex HAS.1,1450,0.74,16,5.9,1 + FT,,11,2,,1,75,42.5,940
Napier,Gazelle NGa.13/2 Mk.162,Wessex HAS.31,1540,0.75,16,6.1,1 + FT,,11,2,,1,75,42.5,940
Napier,Gazelle NGa.18,,,,,,1 + FT,,11,2,,1,75,42.5,928
Napier,Gazelle NGa.22 Mk.165,Wessex HAS.3,1600,0.69,17,5.9,1 + FT,,11,2,,1,75,42.5,884
Napier,Gazelle NGa.22 Mk.165C,Wessex HAS.31B,1600,0.69,17,5.9,1 + FT,,11,2,,1,75,42.5,884
Napier,Gazelle 501,,,,,,1 + FT,,11,2,,1,75,42.5,928
Napier,Gazelle 503,,,,,,1 + FT,,11,2,,1,75,42.5,928
Napier,Gazelle 512,,,,,,1 + FT,,11,2,,1,75,42.5,928
Napier,Gazelle 514,,,,,,1 + FT,,11,2,,1,75,42.5,928
GE,GE12,Demonstrator for US Army,1500,0.4,,,2,,5 + 1C,2,,2,,,
GE,GE38-1B,(see T408-GE-400),,,,,,,,,,,,,
Rolls-Royce,Gem ?? Mk.???,Super Lynx Mk.95/Mk.99,,,,,3,4,1C,1,1,2,,,
Rolls-Royce,Gem 2-1001,"Lynx AH.1/HAS.2/Mk.2/Mk.21/Mk.23/Mk.25/Mk.80/Mk.86/Mk.89,",825,0.52,,12,3,4,1C,1,1,2,43.4,23.5,393
,,Lynx HT.1/Mk.22/Mk.24/Mk.26 (not produced),,,,,,,,,,,,,
Piaggio,Gem 2-1004D,A129,825,0.52,,,3,4,1C,1,1,2,,,360
Rolls-Royce,Gem 41-1,Lynx HAS.3/HAS.3S/HAS.3ICE/HAS.3GM/Mk.4/AH.5/AH.7/HMA.8/AH.9,1000,,,,3,4,1C,1,1,2,,,404
Rolls-Royce,Gem 41-1 Mk.101,,1000,,,,3,4,1C,1,1,2,,,404
Rolls-Royce,Gem 41-1 Mk.202,,1000,,,,3,4,1C,1,1,2,,,404
Rolls-Royce,Gem 42-1 Mk.204,"Lynx Mk.81/Mk.88, Super Lynx Mk.95",1000,0.49,,13,3,4,1C,1,1,2,43.2,23.5,404
Rolls-Royce,Gem 42-1 Mk.205,"Lynx Mk.81/Mk.88, Super Lynx Mk.95",1000,0.49,,13,3,4,1C,1,1,2,43.2,23.5,404
Rolls-Royce,Gem 42-1 Mk.1017,Super Lynx Mk.21A,1000,0.49,,13,3,4,1C,1,1,2,43.2,23.5,404
Rolls-Royce,Gem 43 Mk.1020,,1000,0.49,,,3,4,1C,1,1,2,,,
Rolls-Royce,Gem 47-1,Lynx AH.28,,,,,3,4,1C,1,1,2,,,
Rolls-Royce,Gem 60,Lynx-3,,,,,3,4,1C,1,1,2,,,
de Havilland,Gnome H.1000 Mk.101,Whirlwind HAR.9/HAR.10,1050,,,,1 + FT,,10,2,,1,,,
de Havilland,Gnome H.1000 Mk.110,Wessex HC.2/HC.4/HU.5/Mk.52/Mk.53/Mk.54,1350,,,,,,,,,,,,
de Havilland,Gnome H.1000 Mk.111,Wessex HC.2/HU.5,1350,,,,,,,,,,,,
de Havilland (Bristol Siddeley),Gnome H.1200,HKP-4A/B/D,1250,,,,,,,,,,,,
de Havilland (Bristol Siddeley),Gnome H.1400,"Sea King HAS.1, Whirlwind HCC.12, HKP-4C",1400,,,,1 + FT,,10,2,,1,54.8,22.7,326
de Havilland (Bristol Siddeley),Gnome H.1400-1,"Sea King HAS.2/AEW.2/HAR.3/HC.4, A101G",1535,,,,1 + FT,,10,2,,1,54.8,22.7,326
de Havilland (Bristol Siddeley),Gnome H.1400-2,Sea King HAS.5/AEW.5/HAS.6/ASW.6,1660,0.62,14,8.5,1 + FT,,10,2,,1,54.8,22.7,326
de Havilland (Bristol Siddeley),Gnome H.1400-3,,1720,,,,1 + FT,,10,2,,1,54.8,22.7,326
de Havilland (Bristol Siddeley),Gnome H.1600,,1600,,,,1 + FT,,11,2,,2,,,
de Havilland (Bristol Siddeley),Gnome H.1800,,1750,,15,9.9,1 + FT,,11,2,,2,,,
de Havilland,Gnome P.1000,,1050,,,,1 + FT,,10,2,,1,,,
de Havilland (Bristol Siddeley),Gnome P.1200,,1250,,,,,,,,,,,,
de Havilland (Bristol Siddeley),Gnome P.1400-3,,1720,,,,1 + FT,,10,2,,1,54.8,22.7,326
Glushenkov (OMKB),GTD-3BM,Ka-25,990,,,,,,,,,,,,
Glushenkov (OMKB),GTD-3F,Ka-25,900,,,,,,,,,,,,
Glushenkov (OMKB),GTD-350,Mi-2RM/URN/URP/US,394,0.84,5,6.1,1 + FT,,7 + 1C,1,,2,54.4,24.8,307
PZL Rzeszów,GTD-350W,,414,0.84,5,6.1,1 + FT,,7 + 1C,1,,2,,,
Soyuz,GTE-400,Ka-118,400,,,,,,,,,,,,
Honeywell,HTS900,"OH-58F Block II, ARH-70 (not produced)",925,0.54,,,1 + FT,,1 + 1C,1,,1,,,
Pratt Whitney,JFTD12A-4A,CH-54A,4500,,,,2,,9,2,,2,,,
Pratt Whitney,JFTD12A-5A,CH-54B,4800,0.69,51,6.8,2,,9,2,,2,,,
Avco Lycoming,LTC 1K-4C,CL-84,1500,,,,1 + FT,,7 + 1C,2,,2,,,
Avco Lycoming,LTC 1K-4K,XV-15A,1550,,,,1 + FT,,7 + 1C,2,,2,,,
Avco Lycoming,LTP 101-600A-1A,P.166-DL3,620,0.544,,8.5,1 + FT,,1 + 1C,1,,1,37.4,23.3,325
Avco Lycoming,LTP 101-700A-1A,P.166-DLR-MAR,700,0.544,,,1 + FT,,1 + 1C,1,,1,37.4,23.3,325
Avco Lycoming,LTS 101-650B-1,"BK117A3M, CH-143",550,0.577,,8.4,1 + FT,,1 + 1C,1,,1,31.1,25.4,273
Avco Lycoming,LTS 101-750B-2,HH-65A/B/C,690,0.57,,8.8,1 + FT,,1 + 1C,1,,1,32.4,24.7,268
Motorlet,M601D-11,PZL-130TM,604,,,,1 + FT,,,,,,66,25.6,450
Motorlet,M601E-11,PZL-130TB,751,,,,1 + FT,,,,,,66,25.6,457
Motorlet,M601E-11A,,705,,,,1 + FT,,,,,,66,25.6,457
Motorlet,M601F,,777,,,,1 + FT,,,,,,66,25.6,457
Turbomeca,Makila 1A,,,,,,1 + FT,,3 + 1C,2,,2,54.9,20.3,535
Turbomeca,Makila 1A1,"AS332B/B1/F/F1, AS532AC/AL/SC/UB/UC/UL, Puma HC.2",1877,0.481,,,1 + FT,,3 + 1C,2,,2,54.9,20.3,535
Turbomeca,Makila 1A2,"AS332, AS532A2/U2",2100,,,,1 + FT,,3 + 1C,2,,2,54.9,20.3,535
Turbomeca,Makila 1A4,EC725,2382,,,,1 + FT,,3 + 1C,2,,2,54.9,20.3,535
Turbomeca,Makila 2A,,2415,,,,1 + FT,,3 + 1C,2,,2,54.9,20.3,535
Turbomeca,Makila 2A1,EC725,2382,,,,1 + FT,,3 + 1C,2,,2,,,
Turbomeca,Makila 2B,,,,,,1 + FT,,3 + 1C,2,,2,54.9,20.3,535
Armstrong Siddeley,Mamba ASMa.1,Br.960-1 Vultur prototype,980,,,,1,,10,2,,,90.2,33,850
Armstrong Siddeley,Mamba ASMa.3,"Apollo AW.55, Athena T.1, Balliol T.1 prototypes, Br.960-1 Vultur prototype",1010,,,,1,,10,2,,,90.2,33,850
Armstrong Siddeley,Mamba ASMa.5,Development engine,,,,,1,,10,2,,,90.2,33,850
Armstrong Siddeley,Mamba ASMa.6,Seamew AS.1/2,1650,0.69,21.5,6,1,,10,2,,,90.2,33,850
Snecma,M138,A400M (candidate engine),,,,,,,,,,,,,
Mitsubishi,MG6-10,Drones,70,0.43,,4.5,1,,1,1,,,10,8,
MTU/Turbomeca/Rolls-Royce,MTR390-2C,Tiger,1556,0.46,7,14,1 + FT,,2C,1,,2,42.4,26.9,373
MTU/Turbomeca/Rolls-Royce,MTR390-E,,,,,,1 + FT,,2C,1,,2,42.4,26.9,373
Napier,Naiad,,1500,,17.2,5.5,,,,,,,,,
Napier,Double Naiad,YA.5 prototype (engine cancelled),,,,,,,,,,,,,
Blackburn,Nimbus BnN.1,,,,,,1 + FT,,2 + 1C,2,,2,,,
Blackburn,Nimbus BnN.2,,,,,,1 + FT,,2 + 1C,2,,2,,,
