HM10011	NF-Leistungsprofil erstellt 01.2001
0.57406	-0.02437
0.58033	-0.02401
0.58659	-0.02364
0.59283	-0.02327
0.59906	-0.02289
0.60527	-0.02251
0.61147	-0.02213
0.61765	-0.02174
0.62381	-0.02135
0.62995	-0.02097
0.63606	-0.02059
0.64216	-0.02022
0.64823	-0.01984
0.65428	-0.01946
0.66030	-0.01909
0.66630	-0.01870
0.67227	-0.01832
0.67821	-0.01794
0.68412	-0.01756
0.69001	-0.01717
0.69586	-0.01679
0.70169	-0.01641
0.70748	-0.01604
0.71324	-0.01567
0.71896	-0.01530
0.72465	-0.01494
0.73030	-0.01457
0.73592	-0.01422
0.74149	-0.01386
0.74703	-0.01351
0.75252	-0.01315
0.75798	-0.01280
0.76339	-0.01245
0.76877	-0.01210
0.77409	-0.01176
0.77938	-0.01141
0.78462	-0.01106
0.78982	-0.01072
0.79496	-0.01039
0.80006	-0.01006
0.80512	-0.00974
0.81012	-0.00943
0.81507	-0.00912
0.81997	-0.00881
0.82482	-0.00851
0.82962	-0.00822
0.83437	-0.00793
0.83906	-0.00764
0.84369	-0.00736
0.84828	-0.00709
0.85280	-0.00681
0.85727	-0.00654
0.86168	-0.00628
0.86603	-0.00602
0.87033	-0.00576
0.87456	-0.00551
0.87874	-0.00527
0.88285	-0.00503
0.88690	-0.00481
0.89089	-0.00460
0.89482	-0.00439
0.89868	-0.00419
0.90248	-0.00400
0.90621	-0.00380
0.90987	-0.00361
0.91347	-0.00341
0.91701	-0.00323
0.92048	-0.00305
0.92387	-0.00287
0.92721	-0.00271
0.93047	-0.00256
0.93366	-0.00241
0.93679	-0.00227
0.93984	-0.00213
0.94282	-0.00200
0.94573	-0.00186
0.94857	-0.00173
0.95134	-0.00161
0.95403	-0.00149
0.95666	-0.00138
0.95921	-0.00127
0.96168	-0.00117
0.96408	-0.00107
0.96641	-0.00098
0.96866	-0.00089
0.97083	-0.00080
0.97293	-0.00071
0.97495	-0.00063
0.97689	-0.00056
0.97876	-0.00048
0.98055	-0.00042
0.98227	-0.00036
0.98390	-0.00030
0.98546	-0.00025
0.98694	-0.00021
0.98834	-0.00018
0.98966	-0.00014
0.99091	-0.00012
0.99207	-0.00009
0.99315	-0.00007
0.99416	-0.00005
0.99509	-0.00003
0.99594	-0.00002
0.99672	-0.000011
0.99742	-0.00001
0.99803	0.00000
0.99897	0.00000
0.99955	0.00000
0.99987	0.00000
1.00000	0.00000

http://rsonst.bei.t-online.de/modprof.html
