NM REtro 14   14% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
 0.39001    -0.02428
 0.39957    -0.02321
 0.40913    -0.02213
 0.41875    -0.02103
 0.42841    -0.01993
 0.43811    -0.01881
 0.44782    -0.01769
 0.45751    -0.01656
 0.46718    -0.01545
 0.47685    -0.01432
 0.48655    -0.01319
 0.49626    -0.01206
 0.50597    -0.01095
 0.51569    -0.00985
 0.52542    -0.00874
 0.53515    -0.00764
 0.54487    -0.00655
 0.55456    -0.00548
 0.56420    -0.00443
 0.57383    -0.00341
 0.58347    -0.00241
 0.59311    -0.00143
 0.60275    -0.00047
 0.61236     0.00047
 0.62191     0.00137
 0.63142     0.00222
 0.64093     0.00304
 0.65048     0.00382
 0.66005     0.00456
 0.66963     0.00528
 0.67918     0.00596
 0.68871     0.00658
 0.69822     0.00715
 0.70776     0.00770
 0.71731     0.00819
 0.72687     0.00864
 0.73639     0.00904
 0.74588     0.00937
 0.75535     0.00966
 0.76481     0.00989
 0.77427     0.01009
 0.78373     0.01023
 0.79316     0.01031
 0.80255     0.01033
 0.81192     0.01029
 0.82129     0.01020
 0.83066     0.01005
 0.84003     0.00984
 0.84940     0.00956
 0.85876     0.00923
 0.86811     0.00883
 0.87744     0.00836
 0.88676     0.00781
 0.89606     0.00718
 0.90534     0.00651
 0.91458     0.00582
 0.92376     0.00511
 0.93287     0.00435
 0.94189     0.00358
 0.95077     0.00277
 0.95937     0.00192
 0.96761     0.00106
 0.97554     0.00017
 0.98305    -0.00072
 0.98994    -0.00155
 0.99617    -0.00233
 1.00000    -0.00281

http://kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
