NM REtro 16   16% (c)Nicolas Mathis kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
 0.86811     0.00677
 0.87744     0.00643
 0.88676     0.00601
 0.89606     0.00550
 0.90534     0.00495
 0.91458     0.00438
 0.92376     0.00378
 0.93287     0.00314
 0.94189     0.00248
 0.95077     0.00178
 0.95937     0.00104
 0.96761     0.00028
 0.97554    -0.00052
 0.98305    -0.00132
 0.98994    -0.00207
 0.99617    -0.00278
 1.00000    -0.00322

http://kipecoul.e-monsite.com/pages/profil-vieille-plume/go-535-style.html
