HM391-2	 Ein Brettprofil erstellt 04.2001
0.01694	0.02501
0.01608	0.02434
0.01523	0.02366
0.01441	0.02299
0.01361	0.02231
0.01284	0.02163
0.01210	0.02095
0.01138	0.02028
0.01070	0.01961
0.01004	0.01895
0.00941	0.01829
0.00881	0.01765
0.00825	0.01701
0.00771	0.01639
0.00720	0.01578
0.00672	0.01518
0.00627	0.01459
0.00583	0.01401
0.00541	0.01343
0.00501	0.01287
0.00462	0.01231
0.00425	0.01175
0.00388	0.01119
0.00352	0.01062
0.00317	0.01002
0.00283	0.00939
0.00249	0.00873
0.00215	0.00801
0.00182	0.00723
0.00150	0.00639
0.00118	0.00550
0.00088	0.00457
0.00061	0.00364
0.00038	0.00272
0.00020	0.00182
0.00007	0.00098
0.00001	-0.00013
0.00009	-0.00106
0.00023	-0.00158
0.00041	-0.00204
0.00062	-0.00245
0.00086	-0.00283
0.00111	-0.00319
0.00137	-0.00354
0.00161	-0.00389
0.00185	-0.00426
0.00210	-0.00465
0.00238	-0.00507
0.00270	-0.00551
0.00309	-0.00599
0.00356	-0.00652
0.00413	-0.00708
0.00482	-0.00770
0.00562	-0.00836
0.00654	-0.00907
0.00754	-0.00979
0.00862	-0.01054
0.00975	-0.01128
0.01091	-0.01201
0.01210	-0.01272
0.01329	-0.01340
0.01447	-0.01403
0.01567	-0.01462
0.01690	-0.01520
0.01819	-0.01575
0.01956	-0.01629
0.02103	-0.01684
0.02264	-0.01740
0.02439	-0.01797
0.02631	-0.01857
0.02839	-0.01920
0.03060	-0.01984
0.03293	-0.02049
0.03536	-0.02115
0.03787	-0.02180
0.04043	-0.02244
0.04304	-0.02307
0.04567	-0.02367
0.04834	-0.02426
0.05110	-0.02483
0.05397	-0.02538
0.05701	-0.02594
0.06025	-0.02649
0.06374	-0.02704
0.06750	-0.02761
0.07159	-0.02819
0.07598	-0.02878
0.08063	-0.02937
0.08548	-0.02997
0.09049	-0.03056
0.09559	-0.03113
0.10074	-0.03169
0.10587	-0.03222
0.11095	-0.03271
0.11592	-0.03316
0.12080	-0.03358
0.12559	-0.03397
0.13030	-0.03433
0.13492	-0.03467
0.13947	-0.03498
0.14394	-0.03528
0.14835	-0.03556
0.15269	-0.03582
0.15699	-0.03608
0.16125	-0.03632
0.16550	-0.03656
0.16973	-0.03678
0.17397	-0.03700
0.17823	-0.03721
0.18253	-0.03741
0.18687	-0.03760
0.19124	-0.03779
0.19562	-0.03797
0.20000	-0.03813
0.20435	-0.03829
0.20866	-0.03844
0.21291	-0.03858
0.21708	-0.03871
0.22115	-0.03882
0.22512	-0.03893
0.22902	-0.03902
0.23284	-0.03910
0.23660	-0.03917
0.24031	-0.03924
0.24399	-0.03930
0.24764	-0.03936
0.25128	-0.03941
0.25492	-0.03946
0.25855	-0.03950
0.26219	-0.03955
0.26584	-0.03959
0.26951	-0.03963
0.27319	-0.03967
0.27691	-0.03971
0.28065	-0.03974
0.28443	-0.03978
0.28830	-0.03981
0.29227	-0.03983
0.29639	-0.03986
0.30069	-0.03987
0.30520	-0.03989
0.30996	-0.039891
0.31500	-0.03989
0.32032	-0.03988
0.32588	-0.03986
0.33160	-0.03983
0.33743	-0.03980
0.34329	-0.03976
0.34912	-0.03971
0.35486	-0.03965
0.36043	-0.03958
0.36579	-0.03951
0.37098	-0.03943
0.37604	-0.03935
0.38104	-0.03925
0.38603	-0.03915
0.39106	-0.03905
0.39619	-0.03893
0.40148	-0.03881
0.40697	-0.03868
0.41266	-0.03855
0.41851	-0.03840
0.42449	-0.03826
0.43056	-0.03811
0.43669	-0.03795
0.44284	-0.03780
0.44898	-0.03764
0.45507	-0.03748
0.46110	-0.03732
0.46708	-0.03716
0.47303	-0.03700
0.47896	-0.03683
0.48487	-0.03665
0.49078	-0.03647
0.49669	-0.03628
0.50262	-0.03608
0.50858	-0.03586
0.51457	-0.03564
0.52058	-0.03541
0.52663	-0.03518
0.53271	-0.03494
0.53882	-0.03469
0.54496	-0.03445
0.55115	-0.03420
0.55736	-0.03395
0.56359	-0.03370
0.56982	-0.03346
0.57602	-0.03321
0.58218	-0.03297
0.58828	-0.03272
0.59429	-0.03248
0.60020	-0.03225
0.60600	-0.03201
0.61170	-0.03178
0.61736	-0.03155
0.62299	-0.03131
0.62864	-0.03108
0.63434	-0.03083
0.64013	-0.03058
0.64604	-0.03032
0.65209	-0.03005
0.65830	-0.02977
0.66462	-0.02948
0.67103	-0.02918
0.67751	-0.02887
0.68404	-0.02856
0.69058	-0.02824
0.69711	-0.02792
0.70361	-0.02759
0.71007	-0.02726
0.71652	-0.02693
0.72297	-0.02659
0.72944	-0.02625
0.73595	-0.02589
0.74251	-0.02553
0.74916	-0.02516
0.75590	-0.02479
0.76273	-0.02440
0.76961	-0.02400
0.77652	-0.02360
0.78340	-0.02320
0.79023	-0.02279
0.79696	-0.02239
0.80356	-0.02199
0.80999	-0.02160
0.81624	-0.02121
0.82233	-0.02083
0.82830	-0.02045
0.83418	-0.02006
0.84002	-0.01967
0.84585	-0.01926
0.85171	-0.01884
0.85763	-0.01841
0.86363	-0.01795
0.86972	-0.01747
0.87585	-0.01698
0.88200	-0.01647
0.88815	-0.01595
0.89428	-0.01541
0.90035	-0.01487
0.90634	-0.01433
0.91223	-0.01377
0.91800	-0.01322
0.92363	-0.01266
0.92912	-0.01210
0.93445	-0.01154
0.93961	-0.01097
0.94457	-0.01041
0.94934	-0.00984
0.95389	-0.00927
0.95823	-0.00871
0.96234	-0.00814
0.96624	-0.00756
0.96993	-0.00699
0.97341	-0.00641
0.97667	-0.00584
0.97973	-0.00525
0.98257	-0.00467
0.98523	-0.00408
0.98770	-0.00348
0.99004	-0.00289
0.99225	-0.00229
0.99437	-0.00169
0.99641	-0.00109
0.99841	-0.00048
1.00000	0.00000

http://rsonst.bei.t-online.de/modprof.html
