N+3 T120
   0.9456849E-01 -0.4467984E-01
   0.1076341     -0.4662167E-01
   0.1215174     -0.4841737E-01
   0.1360473     -0.5006505E-01
   0.1510605     -0.5156307E-01
   0.1664308     -0.5291366E-01
   0.1820649     -0.5412338E-01
   0.1978961     -0.5520017E-01
   0.2138756     -0.5615207E-01
   0.2299683     -0.5698602E-01
   0.2461484     -0.5770844E-01
   0.2623969     -0.5832449E-01
   0.2787001     -0.5883886E-01
   0.2950461     -0.5925561E-01
   0.3114257     -0.5957775E-01
   0.3278314     -0.5980802E-01
   0.3442562     -0.5994836E-01
   0.3606948     -0.6000011E-01
   0.3771424     -0.5996449E-01
   0.3935948     -0.5984201E-01
   0.4100490     -0.5963297E-01
   0.4265020     -0.5933759E-01
   0.4429512     -0.5895557E-01
   0.4593950     -0.5848661E-01
   0.4758316     -0.5793037E-01
   0.4922597     -0.5728613E-01
   0.5086786     -0.5655331E-01
   0.5250873     -0.5573135E-01
   0.5414856     -0.5481943E-01
   0.5578737     -0.5381698E-01
   0.5742512     -0.5272347E-01
   0.5906189     -0.5153822E-01
   0.6069778     -0.5026087E-01
   0.6233289     -0.4889112E-01
   0.6396744     -0.4742872E-01
   0.6560167     -0.4587384E-01
   0.6723588     -0.4422682E-01
   0.6887049     -0.4248822E-01
   0.7050600     -0.4065915E-01
   0.7214304     -0.3874096E-01
   0.7378248     -0.3673553E-01
   0.7542539     -0.3464558E-01
   0.7707313     -0.3247487E-01
   0.7872713     -0.3022955E-01
   0.8038854     -0.2791820E-01
   0.8205795     -0.2555188E-01
   0.8373486     -0.2314505E-01
   0.8541653     -0.2071666E-01
   0.8709641     -0.1829246E-01
   0.8876800     -0.1589805E-01
   0.9042711     -0.1355465E-01
   0.9206891     -0.1128083E-01
   0.9368338     -0.9094439E-02
   0.9524630     -0.7007700E-02
   0.9671078     -0.5040260E-02
   0.9802755     -0.3242684E-02
   0.9916390     -0.1665311E-02
    1.000000     -0.4962650E-03
